days,date_2019,speed_2019,travel_time_2019,date_2020,speed_2020,travel_time_2020
59,2019-05-02 00:00:00,33.93902096593036,234.5098411509868,2020-05-01 00:00:00,42.69208576006511,153.68279966428443
60,2019-05-03 00:00:00,33.23483436213992,236.7423353909465,2020-05-02 00:00:00,43.909431116328925,150.9566382522587
61,2019-05-04 00:00:00,35.75815920781893,199.28143004115228,2020-05-03 00:00:00,45.23872733284163,145.20188712836034
62,2019-05-05 00:00:00,34.83003497942387,208.9482510288066,2020-05-04 00:00:00,42.88094219413654,159.30482751476225
63,2019-05-06 00:00:00,34.296468705639434,224.63995354239256,2020-05-05 00:00:00,42.553638109873226,153.34898194391087
64,2019-05-07 00:00:00,33.791240523954414,233.30542519725645,2020-05-06 00:00:00,42.258915390151124,158.909504472088
65,2019-05-08 00:00:00,34.11264068930041,224.35069444444446,2020-05-07 00:00:00,42.8163572701808,157.95961293608352
66,2019-05-09 00:00:00,33.53441206941207,233.3868168868169,2020-05-08 00:00:00,41.7216821269262,161.52344383617194
67,2019-05-10 00:00:00,33.82918724996774,235.63600464576075,2020-05-09 00:00:00,43.320370285888075,159.55188057583132
68,2019-05-11 00:00:00,34.48330959164292,212.43390313390313,2020-05-10 00:00:00,44.24516788321168,160.1283647073889
69,2019-05-12 00:00:00,34.912450102880655,207.74243827160493,2020-05-11 00:00:00,42.63651059284315,159.88944276304076
70,2019-05-13 00:00:00,32.892292033040235,239.0525446309619,2020-05-12 00:00:00,42.058142234387674,158.28692721005677
71,2019-05-14 00:00:00,32.985602791196996,236.76462694578638,2020-05-13 00:00:00,41.327751468755565,165.28998702917164
72,2019-05-15 00:00:00,33.300004609053495,238.9684609053498,2020-05-14 00:00:00,40.38230524682724,165.71253083750858
73,2019-05-16 00:00:00,28.553383838383837,264.34482924482927,2020-05-15 00:00:00,39.507603236179875,166.47830636516767
74,2019-05-17 00:00:00,27.834814233841684,307.2462164124909,2020-05-16 00:00:00,39.919646990004836,179.28395940893716
75,2019-05-18 00:00:00,32.706045524691355,226.34673353909466,2020-05-17 00:00:00,41.4186067582053,180.95763360726863
76,2019-05-19 00:00:00,34.445738805007096,207.91622144792876,2020-05-18 00:00:00,40.910949415547954,173.74998723903835
77,2019-05-20 00:00:00,33.06051695743914,229.07763367814317,2020-05-19 00:00:00,41.08752131080598,167.82596600479812
78,2019-05-21 00:00:00,32.295892982501755,236.52645537037517,2020-05-20 00:00:00,40.76762441937625,169.61948407431984
79,2019-05-22 00:00:00,32.34161226124939,242.66121320203666,2020-05-21 00:00:00,40.28482907104973,176.47229953263667
80,2019-05-23 00:00:00,30.924877303872098,256.67751102140545,2020-05-22 00:00:00,39.662207522303326,186.6713807785888
81,2019-05-24 00:00:00,32.184221425624095,247.14622446874355,2020-05-23 00:00:00,40.69642122649049,166.9256220363365
82,2019-05-25 00:00:00,37.27317197617197,192.2121471121471,2020-05-24 00:00:00,41.432129896165314,182.18502621568828
83,2019-05-26 00:00:00,37.15084782608696,201.13458132045088,2020-05-25 00:00:00,41.35045443025142,180.87535482562853
84,2019-05-27 00:00:00,38.46421136887803,190.25749559082894,2020-05-26 00:00:00,37.429235350770476,200.93529501216545
85,2019-05-28 00:00:00,34.520760288065844,227.6517232510288,2020-05-27 00:00:00,39.19402353121331,174.88966872543514
86,2019-05-29 00:00:00,33.852046296296294,230.6205808080808,2020-05-28 00:00:00,39.30628678247158,174.41066659884535
87,2019-05-30 00:00:00,31.865212326830648,247.5371218546791,2020-05-29 00:00:00,38.9911976398179,175.26877590986547
88,2019-05-31 00:00:00,31.92930700735579,243.72032520325203,2020-05-30 00:00:00,41.16192843652698,175.6778622837017
89,2019-06-01 00:00:00,36.5347675548852,196.09079939668175,2020-05-31 00:00:00,42.71434268419848,157.8190187949846
90,2019-06-02 00:00:00,36.389670995671,185.93116883116883,2020-06-01 00:00:00,40.83609184914842,169.0186283454988
